iter	RMSE
0	0.3802420548
1	0.3706049059
2	0.3605843664
3	0.351725219
4	0.3423227129
5	0.3347896599
6	0.3265287841
7	0.3188680615
8	0.3114817758
9	0.304187279
10	0.2967410351
11	0.2901872721
12	0.283905317
13	0.2785882807
14	0.272652216
15	0.2670214359
16	0.2615697223
17	0.2564014226
18	0.2512588273
19	0.2463650356
20	0.2419445057
21	0.2373732739
22	0.2332285716
23	0.2292428528
24	0.2253822176
25	0.2214113549
26	0.2178964421
27	0.2145968855
28	0.2114592692
29	0.2088421838
30	0.2055348821
31	0.2026807525
32	0.1994571845
33	0.1967878325
34	0.1939286301
35	0.1916967229
36	0.1892132487
37	0.1865983997
38	0.1840452884
39	0.1817465214
40	0.1797596736
41	0.1777213702
42	0.1756623118
43	0.1739405211
44	0.1720451051
45	0.1701656199
46	0.1684268246
47	0.1667929663
48	0.1653151513
49	0.1639958133
50	0.1626494439
51	0.1610290448
52	0.1594791806
53	0.1581948415
54	0.156840562
55	0.15566128
56	0.1543171283
57	0.15323554
58	0.1520581969
59	0.1509602731
60	0.1497971905
61	0.1484642665
62	0.1473335552
63	0.1464455111
64	0.1455003197
65	0.1445853596
66	0.1436650997
67	0.1427871529
68	0.1418982701
69	0.1410076167
70	0.1401007664
71	0.1392786356
72	0.1385103294
73	0.1376120409
74	0.1368377715
75	0.1360866818
76	0.1355163369
77	0.1349441716
78	0.1342939002
79	0.1334997641
80	0.1328330161
81	0.1320064695
82	0.1312832553
83	0.1307280812
84	0.1302560532
85	0.1294352745
86	0.1288331501
87	0.1283109716
88	0.1277642705
89	0.1271660804
90	0.126752325
91	0.126078862
92	0.125508448
93	0.1250153664
94	0.1245390716
95	0.1240309659
96	0.123620177
97	0.1230946533
98	0.1226962542
99	0.1222544421
100	0.1218434348
101	0.1214571881
102	0.1210631382
103	0.1206308794
104	0.1202866162
105	0.1199010509
106	0.1195720731
107	0.1192290041
108	0.1189506605
109	0.1186878867
110	0.1183437944
111	0.1179550883
112	0.1175958661
113	0.1173574027
114	0.1170511459
115	0.1166884417
116	0.1163961777
117	0.1160819686
118	0.1157131198
119	0.1153461338
120	0.114941339
121	0.1147394717
122	0.1144880558
123	0.1142187055
124	0.1138744414
125	0.1136337928
126	0.113436997
127	0.1131188957
128	0.1128219767
129	0.1126312932
130	0.1123811158
131	0.112013562
132	0.1117265036
133	0.1114726176
134	0.1112213647
135	0.1109821388
136	0.1107351968
137	0.1104791901
138	0.1102474824
139	0.109996615
140	0.1096689919
141	0.109355884
142	0.1091509713
143	0.1089036282
144	0.1086032403
145	0.108347362
146	0.1080951086
147	0.1078446678
148	0.1076218862
149	0.1073778304
150	0.1071052157
151	0.1069123608
152	0.1067131014
153	0.1064614929
154	0.1062223694
155	0.1059266748
156	0.1057641169
157	0.1055278286
158	0.1052004316
159	0.1049974655
160	0.1047863869
161	0.1046396442
162	0.1044655748
163	0.1042858218
164	0.1040470656
165	0.1038550554
166	0.1036477742
167	0.1034916051
168	0.1033067449
169	0.1030863427
170	0.1028648623
171	0.1026296135
172	0.1023820785
173	0.1021993733
174	0.1020172473
175	0.1018382529
176	0.101625729
177	0.1014112892
178	0.1011669683
179	0.1010234795
180	0.1009042731
181	0.100774566
182	0.1006438384
183	0.1004629091
184	0.1001982684
185	0.1000988921
186	0.09984423761
187	0.09968408356
188	0.09946509533
189	0.09927971048
190	0.09909519965
191	0.09886707324
192	0.09879134473
193	0.09868291283
194	0.09853587993
195	0.09827510731
196	0.09811458691
197	0.09791448118
198	0.09778889619
199	0.09760211872
200	0.09748060775
201	0.09733041722
202	0.0971915525
203	0.09704179328
204	0.09692316557
205	0.09665147545
206	0.09647822613
207	0.09641322672
208	0.09630685629
209	0.09604295084
210	0.0958990899
211	0.09565422089
212	0.09557122563
213	0.0954646343
214	0.09537217046
215	0.09524479226
216	0.09518332561
217	0.09503180815
218	0.09495236183
219	0.0948322409
220	0.09460538563
221	0.09441850328
222	0.09424669718
223	0.09403704376
224	0.09396592154
225	0.09379642134
226	0.09370666949
227	0.09353069909
228	0.09334191636
229	0.09326450665
230	0.0931354091
231	0.0930778322
232	0.0929627521
233	0.0929134385
234	0.09281276841
235	0.09264693133
236	0.09243669933
237	0.09234881736
238	0.09218092844
239	0.09201064914
240	0.09190378243
241	0.0918497095
242	0.09174935689
243	0.09145104505
244	0.09134068548
245	0.09123853975
246	0.09099175976
247	0.09077868642
248	0.09069451808
249	0.09052756588
250	0.09029004668
251	0.09023632504
252	0.09009570064
253	0.09003856392
254	0.08994240286
255	0.08986917726
256	0.08973963913
257	0.08960613548
258	0.08949461559
259	0.08939562141
260	0.08917199412
261	0.08912901834
262	0.08907315454
263	0.08887211554
264	0.08868686438
265	0.08854860982
266	0.0884891465
267	0.08836392555
268	0.08821480683
269	0.08813580989
270	0.08796784872
271	0.08777516846
272	0.08767000116
273	0.08758648053
274	0.08750013806
275	0.08737261883
276	0.08720555014
277	0.08701505472
278	0.08681014885
279	0.0866841507
280	0.08651775865
281	0.08647640814
282	0.08639781849
283	0.08628257194
284	0.08608743494
285	0.08591689711
286	0.08580586344
287	0.08568622737
288	0.08566106736
289	0.0855000648
290	0.08533474077
291	0.0852456021
292	0.0851353892
