iter	Passed	Remaining
400	23968	35803
401	24026	35740
402	24088	35684
403	24146	35621
404	24197	35549
405	24251	35480
406	24297	35402
407	24355	35339
408	24409	35271
409	24465	35206
410	24519	35138
411	24578	35077
412	24624	34998
413	24681	34935
414	24734	34866
415	24793	34805
416	24856	34751
417	24911	34685
418	24966	34619
419	25029	34565
420	25090	34506
421	25146	34442
422	25198	34372
423	25262	34318
424	25317	34252
425	25373	34189
426	25428	34123
427	25488	34063
428	25543	33997
429	25597	33930
430	25646	33858
431	25719	33816
432	25798	33782
433	25862	33728
434	25916	33661
435	25976	33602
436	26034	33540
437	26088	33473
438	26148	33414
439	26213	33363
440	26282	33314
441	26344	33258
442	26407	33202
443	26476	33154
444	26543	33105
445	26603	33045
446	26656	32978
447	26721	32924
448	26778	32861
449	26832	32795
450	26885	32727
451	26954	32679
452	27009	32614
453	27066	32551
454	27124	32490
455	27181	32427
456	27292	32428
457	27370	32390
458	27445	32348
459	27505	32288
460	27565	32229
461	27623	32168
462	27689	32115
463	27744	32049
464	27800	31985
465	27852	31916
466	27905	31849
467	27966	31790
468	28021	31725
469	28075	31659
470	28135	31600
471	28197	31542
472	28261	31488
473	28316	31423
474	28382	31370
475	28439	31307
476	28492	31240
477	28549	31177
478	28618	31127
479	28696	31087
480	28755	31026
481	28818	30970
482	28877	30910
483	28930	30843
484	28990	30783
485	29047	30720
486	29113	30667
487	29169	30604
488	29223	30537
489	29279	30474
490	29350	30426
491	29419	30376
492	29482	30319
493	29534	30251
494	29595	30193
495	29661	30139
496	29732	30091
497	29806	30045
498	29877	29997
499	29945	29945
500	30011	29892
501	30087	29847
502	30172	29812
503	30235	29756
504	30289	29689
505	30345	29625
506	30401	29561
507	30457	29498
508	30518	29439
509	30574	29375
510	30628	29310
511	30678	29240
512	30730	29173
513	30787	29110
514	30842	29046
515	30905	28989
516	30970	28933
517	31025	28869
518	31080	28804
519	31139	28743
520	31203	28688
521	31263	28627
522	31316	28561
523	31369	28495
524	31427	28434
525	31481	28369
526	31536	28305
527	31589	28238
528	31653	28182
529	31707	28118
530	31758	28050
531	31810	27983
532	31867	27921
533	31933	27867
534	31989	27803
535	32045	27740
536	32105	27681
537	32160	27617
538	32214	27552
539	32263	27483
540	32308	27411
541	32366	27349
542	32416	27282
543	32466	27214
544	32522	27151
545	32572	27083
546	32638	27029
547	32691	26964
548	32747	26902
549	32799	26836
550	32854	26772
551	32913	26712
552	32969	26650
553	33027	26589
554	33093	26534
555	33147	26470
556	33197	26402
557	33248	26336
558	33300	26271
559	33362	26213
560	33414	26148
561	33472	26087
562	33524	26022
563	33586	25964
564	33645	25903
565	33702	25842
566	33760	25781
567	33821	25723
568	33873	25657
569	33927	25594
570	33983	25531
571	34050	25478
572	34109	25418
573	34162	25353
574	34210	25285
575	34265	25222
576	34324	25163
577	34377	25099
578	34440	25042
579	34512	24991
580	34587	24943
581	34665	24897
582	34744	24851
583	34825	24807
584	34895	24754
585	34966	24703
586	35034	24649
587	35097	24592
588	35176	24545
589	35250	24496
590	35311	24436
591	35362	24371
592	35428	24316
593	35481	24251
594	35533	24186
595	35588	24123
596	35647	24063
597	35715	24009
598	35783	23955
599	35839	23893
600	35906	23838
601	35965	23777
602	36025	23718
603	36088	23660
604	36157	23606
605	36229	23555
606	36297	23500
607	36355	23439
608	36426	23387
609	36499	23335
610	36586	23293
611	36709	23273
612	36842	23259
613	36950	23229
614	37047	23192
615	37135	23149
616	37212	23099
617	37281	23044
618	37351	22990
619	37414	22931
620	37481	22875
621	37549	22819
622	37632	22772
623	37716	22726
624	37796	22677
625	37878	22630
626	37978	22593
627	38051	22539
628	38125	22487
629	38183	22425
630	38244	22364
631	38299	22301
632	38364	22243
633	38421	22180
634	38481	22119
635	38546	22061
636	38610	22002
637	38669	21941
638	38721	21875
639	38779	21813
640	38843	21754
641	38907	21696
642	38968	21635
643	39027	21574
644	39087	21513
645	39156	21457
646	39213	21394
647	39270	21332
648	39333	21273
649	39386	21208
650	39436	21141
651	39525	21096
652	39603	21045
653	39659	20981
654	39714	20918
655	39775	20857
656	39833	20795
657	39897	20737
658	39959	20677
659	40017	20615
660	40085	20558
661	40150	20499
662	40211	20439
663	40275	20380
664	40344	20323
665	40411	20266
666	40473	20206
667	40537	20147
668	40609	20092
669	40695	20044
670	40766	19988
671	40833	19930
672	40895	19870
673	40958	19810
674	41030	19755
675	41090	19694
676	41143	19629
677	41200	19567
678	41254	19503
679	41312	19441
680	41376	19382
681	41431	19318
682	41488	19255
683	41552	19196
684	41600	19129
685	41641	19060
686	41693	18995
687	41751	18933
688	41809	18871
689	41866	18809
690	41924	18747
691	41990	18689
692	42060	18632
693	42114	18569
694	42169	18506
695	42224	18442
696	42277	18379
697	42336	18317
698	42397	18257
699	42451	18193
700	42517	18134
701	42568	18070
702	42622	18007
703	42677	17944
704	42740	17884
705	42796	17821
706	42848	17757
707	42909	17697
708	42967	17635
709	43025	17573
710	43087	17513
711	43144	17451
712	43209	17392
713	43263	17329
